"","depth","var","value","conc_rock.ug_g","in_range","ka"
"166",121.1961,"carb",7.58937495147975,NA,TRUE,11.7108846153842
"167",121.0056,"carb",23.6294956076785,NA,TRUE,18.8179999999993
"168",120.8024,"carb",16.1741595843559,NA,TRUE,26.3989230769239
"169",120.5992,"carb",24.5092857557333,NA,TRUE,33.9798461538448
"170",120.396,"carb",18.1738943387458,NA,TRUE,41.5607692307676
"171",120.19915,"carb",6.86265047854623,NA,TRUE,48.9047884615384
"172",120.0023,"carb",5.47031478817197,NA,TRUE,56.2488076923073
"173",119.7991,"carb",4.29023053703457,NA,TRUE,63.8297307692301
"174",119.6086,"carb",4.91920537097426,NA,TRUE,70.9368461538461
"175",119.41175,"carb",0.760227816975358,NA,TRUE,78.2808653846141
"176",119.20855,"carb",2.7268771368089,NA,TRUE,85.9381588663009
"177",118.99265,"carb",5.3365641970075,NA,TRUE,93.9540706745756
"178",118.8085,"carb",5.83359690334564,NA,TRUE,100.660276642369
"179",118.5545,"carb",3.96858919753695,NA,TRUE,109.695512988524
"180",118.3513,"carb",7.35033038299943,NA,TRUE,116.776609561551
"181",118.1862,"carb",12.1900527073233,NA,TRUE,122.366034705521
"182",118.0084,"carb",14.7587362683181,NA,TRUE,128.412224120575
"183",117.79885,"carb",16.3088935885343,NA,TRUE,135.542472942937
"184",117.59565,"carb",20.1143071737736,NA,TRUE,142.410643797414
"185",117.3861,"carb",14.0685772466343,NA,TRUE,149.517124089974
"186",117.1956,"carb",10.7545206439746,NA,TRUE,156.156770437711
"187",116.9924,"carb",10.1269827272529,NA,TRUE,163.626429623304
"188",116.79555,"carb",13.5504842752836,NA,TRUE,171.475697698816
"189",116.586,"carb",23.5625861877788,NA,TRUE,180.662140505379
"190",115.88115,"carb",14.7637874705435,NA,TRUE,215.657631009749
"191",115.7,"carb",19.2339412293407,NA,TRUE,224.707234913619
"192",115.47475,"carb",21.4805232288215,NA,TRUE,235.568044549681
"193",115.2779,"carb",20.2298482430069,NA,TRUE,244.634552692498
"194",115.0747,"carb",22.2085767379383,NA,TRUE,253.592051479258
"195",114.89055,"carb",23.4171972386869,NA,TRUE,261.430710518111
"196",114.681,"carb",26.8503911747429,NA,TRUE,270.173058205705
"197",114.48415,"carb",32.1711559699401,NA,TRUE,278.254226496548
"198",114.2873,"carb",36.0451219728355,NA,TRUE,286.170916792699
"199",114.07775,"carb",19.7592080459905,NA,TRUE,294.387862892749
"200",113.88725,"carb",25.5725838249146,NA,TRUE,301.657669785095
"201",113.70945,"carb",24.0486967519645,NA,TRUE,308.300129569238
"202",113.50625,"carb",23.3371263073242,NA,TRUE,315.733524337632
"203",113.31575,"carb",14.8749284819712,NA,TRUE,322.638484513091
"204",113.11255,"carb",11.3721652796236,NA,TRUE,329.989858485968
"205",112.8903,"carb",13.5279596818051,NA,TRUE,337.921725363978
"206",112.76965,"carb",23.352699955608,NA,TRUE,342.155307779864
"207",112.5474,"carb",24.7608008438905,NA,TRUE,349.699719548044
"208",112.12195,"carb",1.02944165226696,NA,TRUE,363.097370276848
"209",111.8743,"carb",23.6164272371554,NA,TRUE,370.327649749632
"210",111.69015,"carb",23.3375283468897,NA,TRUE,375.553847237891
"211",111.4552,"carb",23.224615854041,NA,TRUE,382.090617993705
"212",111.252,"carb",15.8647095855944,NA,TRUE,387.648325883883
"213",111.05515,"carb",24.2935751123432,NA,TRUE,392.954329770763
"214",110.871,"carb",19.2794072091473,NA,TRUE,397.848401861731
"215",110.64875,"carb",16.6714064268042,NA,TRUE,403.623934175757
"216",110.44555,"carb",13.7016995277248,NA,TRUE,408.756520437837
"217",110.2487,"carb",17.1320214257374,NA,TRUE,413.595898019284
"218",110.05185,"carb",15.4072698941969,NA,TRUE,418.303468914369
"219",109.855,"carb",18.7228514030898,NA,TRUE,422.872079740506
"220",109.6645,"carb",21.5350555341241,NA,TRUE,427.169575088995
"221",109.4613,"carb",23.3247835411995,NA,TRUE,431.634366263996
"222",109.2581,"carb",24.3526130482042,NA,TRUE,436.083134874044
"223",109.07395,"carb",21.860291992633,NA,TRUE,440.675739351158
"224",108.87075,"carb",30.8642572598412,NA,TRUE,446.632306335646
"225",108.6739,"carb",39.2463438355484,NA,TRUE,453.332781825959
"226",108.45165,"carb",48.0778691676027,NA,TRUE,461.970746195207
"227",108.24845,"carb",32.471091647998,NA,TRUE,470.466634117197
"228",108.0516,"carb",30.9237838946866,NA,TRUE,478.611964302485
"229",107.8484,"carb",40.9041218464145,NA,TRUE,486.584130344945
"230",107.6452,"carb",40.29421395242,NA,TRUE,494.154929199498
"231",107.442,"carb",30.6336381387452,NA,TRUE,501.467599884333
"232",107.2642,"carb",41.2566358447858,NA,TRUE,507.75173209796
"233",107.061,"carb",54.4074573394096,NA,TRUE,514.871558111608
"234",106.8578,"carb",51.965541851543,NA,TRUE,521.985487113148
"235",106.66095,"carb",45.5850793152835,NA,TRUE,528.935637640448
"236",106.45775,"carb",53.6819660048144,NA,TRUE,536.284818463937
"237",106.26725,"carb",51.9846923198191,NA,TRUE,543.425090791523
"238",106.07675,"carb",51.9310591798624,NA,TRUE,550.753748141821
"239",105.8799,"carb",61.1545543253027,NA,TRUE,558.396697066024
"240",105.6767,"carb",53.1857803128882,NA,TRUE,566.13375031984
"241",105.4862,"carb",39.2866170476253,NA,TRUE,573.06290218432
"242",105.1179,"carb",13.6831200506601,NA,TRUE,585.482240444986
"243",104.9147,"carb",37.7970573608114,NA,TRUE,592.099610900839
"244",104.7115,"carb",38.1557326919442,NA,TRUE,598.706501812697
"245",104.513888,"carb",35.228877634565,NA,TRUE,605.160183389739
"246",104.31145,"carb",33.6579917467652,NA,TRUE,611.688037897662
"247",104.12095,"carb",34.8945367344636,NA,TRUE,617.647111707098
"248",103.93045,"carb",26.8786483036375,NA,TRUE,623.399345783783
"249",103.72725,"carb",33.6340026727524,NA,TRUE,629.315061657588
"250",103.52405,"carb",38.5949415707695,NA,TRUE,635.035252443194
"251",102.74935,"carb",54.9986836756847,NA,TRUE,656.361110555328
"252",102.5525,"carb",37.772474133937,NA,TRUE,661.940665410774
"253",102.3493,"carb",37.9054989530596,NA,TRUE,667.804332926171
"254",102.1461,"carb",30.8505333324875,NA,TRUE,673.722197211103
"255",101.9556,"carb",29.755562692272,NA,TRUE,679.214726347541
"256",101.7651,"carb",27.4871811910366,NA,TRUE,684.572534491351
"257",101.55555,"carb",29.2751013826505,NA,TRUE,690.246329587943
"258",101.3587,"carb",28.039523626973,NA,TRUE,695.321324137573
"259",101.1555,"carb",26.0453893897705,NA,TRUE,700.31525927773
"260",100.9523,"carb",27.7546737807501,NA,TRUE,705.144713795913
"261",100.73005,"carb",26.7603015976579,NA,TRUE,710.339153704622
"262",100.53955,"carb",24.400547506345,NA,TRUE,714.786901906131
"263",100.31095,"carb",21.492967272899,NA,TRUE,720.137267477718
"264",100.1141,"carb",22.1842821205904,NA,TRUE,724.729659286809
"265",99.95535,"carb",1.15739368803857,NA,TRUE,728.408922416359
